question,p,human_fraction,outcome,latency_s
insult,0.04,0.0,0,0.882
threat,0.01,0.1666666716337204,0,0.882
obscene,0.01,0.0,0,0.882
toxicity,0.26,0.1666666716337204,0,0.913
insult,0.32,0.1666666716337204,0,0.913
threat,0.01,0.0,0,0.913
obscene,0.01,0.0,0,0.913
toxicity,0.75,0.0,0,0.914
insult,0.57,0.0,0,0.914
threat,0.08,0.0,0,0.914
obscene,0.02,0.0,0,0.914
toxicity,0.24,0.0,0,0.955
insult,0.08,0.0,0,0.955
threat,0.01,0.0,0,0.955
obscene,0.1,0.0,0,0.955
toxicity,0.41,0.6000000238418579,1,0.91
insult,0.3,0.6000000238418579,1,0.91
threat,0.01,0.0,0,0.91
obscene,0.05,0.0,0,0.91
toxicity,0.43,0.0,0,0.951
insult,0.59,0.0,0,0.951
threat,0.01,0.0,0,0.951
obscene,0.02,0.0,0,0.951
toxicity,0.66,0.0,0,1.683
insult,0.45,0.0,0,1.683
threat,0.02,0.0,0,1.683
obscene,0.03,0.0,0,1.683
toxicity,0.43,0.0,0,0.908
insult,0.31,0.0,0,0.908
threat,0.02,0.0,0,0.908
obscene,0.02,0.0,0,0.908
toxicity,0.36,0.0,0,0.887
insult,0.38,0.0,0,0.887
threat,0.03,0.0,0,0.887
obscene,0.02,0.0,0,0.887
toxicity,0.76,0.20000000298023224,0,0.982
insult,0.92,0.20000000298023224,0,0.982
threat,0.02,0.0,0,0.982
obscene,0.04,0.0,0,0.982
toxicity,0.16,0.0,0,0.966
insult,0.16,0.0,0,0.966
threat,0.01,0.0,0,0.966
obscene,0.03,0.0,0,0.966
toxicity,0.34,0.0,0,0.911
insult,0.57,0.0,0,0.911
threat,0.02,0.0,0,0.911
obscene,0.03,0.0,0,0.911
toxicity,0.25,0.0,0,0.995
insult,0.15,0.0,0,0.995
threat,0.01,0.0,0,0.995
obscene,0.02,0.0,0,0.995
toxicity,0.19,0.125,0,0.971
insult,0.46,0.125,0,0.971
threat,0.01,0.0,0,0.971
obscene,0.02,0.0,0,0.971
toxicity,0.25,0.0,0,0.892
insult,0.4,0.0,0,0.892
threat,0.02,0.0,0,0.892
obscene,0.06,0.0,0,0.892
toxicity,0.04,0.0,0,0.919
insult,0.01,0.0,0,0.919
threat,0.01,0.0,0,0.919
obscene,0.01,0.0,0,0.919
toxicity,0.69,0.1666666716337204,0,0.977
insult,0.93,0.0,0,0.977
threat,0.03,0.0,0,0.977
obscene,0.05,0.0,0,0.977
toxicity,0.14,0.1666666716337204,0,0.894
insult,0.08,0.1666666716337204,0,0.894
threat,0.01,0.1666666716337204,0,0.894
obscene,0.01,0.0,0,0.894
toxicity,0.21,0.0,0,0.956
insult,0.18,0.0,0,0.956
threat,0.03,0.0,0,0.956
obscene,0.01,0.0,0,0.956
toxicity,0.34,0.0,0,0.978
insult,0.67,0.0,0,0.978
threat,0.02,0.0,0,0.978
obscene,0.03,0.0,0,0.978
toxicity,0.12,0.0,0,0.944
insult,0.1,0.0,0,0.944
threat,0.01,0.0,0,0.944
obscene,0.02,0.0,0,0.944
toxicity,0.15,0.0,0,0.884
insult,0.11,0.0,0,0.884
threat,0.01,0.0,0,0.884
obscene,0.03,0.0,0,0.884
toxicity,0.26,0.0,0,0.896
insult,0.18,0.0,0,0.896
threat,0.01,0.0,0,0.896
obscene,0.02,0.0,0,0.896
toxicity,0.43,0.0,0,0.906
insult,0.18,0.0,0,0.906
threat,0.16,0.0,0,0.906
obscene,0.03,0.0,0,0.906
toxicity,0.03,0.0,0,0.893
insult,0.02,0.0,0,0.893
threat,0.01,0.0,0,0.893
obscene,0.01,0.0,0,0.893
toxicity,0.19,0.0,0,0.895
insult,0.05,0.0,0,0.895
threat,0.01,0.0,0,0.895
obscene,0.02,0.0,0,0.895
toxicity,0.22,0.1666666716337204,0,0.926
insult,0.14,0.1666666716337204,0,0.926
threat,0.01,0.0,0,0.926
obscene,0.02,0.0,0,0.926
toxicity,0.47,0.30000001192092896,0,0.96
insult,0.48,0.10000000149011612,0,0.96
threat,0.02,0.0,0,0.96
obscene,0.1,0.0,0,0.96
toxicity,0.14,0.0,0,0.913
insult,0.17,0.0,0,0.913
threat,0.01,0.0,0,0.913
obscene,0.02,0.0,0,0.913
toxicity,0.25,0.0,0,0.996
insult,0.16,0.0,0,0.996
threat,0.01,0.0,0,0.996
obscene,0.01,0.0,0,0.996
toxicity,0.31,0.0,0,1.372
insult,0.19,0.0,0,1.372
threat,0.02,0.0,0,1.372
obscene,0.03,0.0,0,1.372
toxicity,0.03,0.20000000298023224,0,0.881
insult,0.04,0.0,0,0.881
threat,0.01,0.20000000298023224,0,0.881
obscene,0.03,0.0,0,0.881
toxicity,0.26,0.0,0,0.888
insult,0.47,0.0,0,0.888
threat,0.03,0.0,0,0.888
obscene,0.03,0.0,0,0.888
toxicity,0.69,0.0,0,0.934
insult,0.86,0.0,0,0.934
threat,0.02,0.0,0,0.934
obscene,0.1,0.0,0,0.934
toxicity,0.19,0.0,0,0.921
insult,0.09,0.0,0,0.921
threat,0.03,0.0,0,0.921
obscene,0.02,0.0,0,0.921
toxicity,0.82,0.5909090638160706,1,1.292
insult,0.97,0.5909090638160706,1,1.292
threat,0.03,0.0,0,1.292
obscene,0.15,0.19696970283985138,0,1.292
toxicity,0.11,0.0,0,0.929
insult,0.08,0.0,0,0.929
threat,0.01,0.0,0,0.929
obscene,0.01,0.0,0,0.929
toxicity,0.45,0.4000000059604645,0,0.889
insult,0.83,0.5,1,0.889
threat,0.01,0.0,0,0.889
obscene,0.02,0.0,0,0.889
toxicity,0.18,0.0,0,0.947
insult,0.05,0.0,0,0.947
threat,0.04,0.0,0,0.947
obscene,0.02,0.0,0,0.947
toxicity,0.57,0.0,0,0.943
insult,0.8,0.0,0,0.943
threat,0.03,0.0,0,0.943
obscene,0.09,0.0,0,0.943
toxicity,0.07,0.0,0,0.929
insult,0.11,0.0,0,0.929
threat,0.01,0.0,0,0.929
obscene,0.02,0.0,0,0.929
toxicity,0.13,0.0,0,2.042
insult,0.09,0.0,0,2.042
threat,0.02,0.0,0,2.042
obscene,0.03,0.0,0,2.042
toxicity,0.24,0.0,0,0.961
insult,0.14,0.0,0,0.961
threat,0.02,0.0,0,0.961
obscene,0.02,0.0,0,0.961
toxicity,0.27,0.0,0,0.939
insult,0.31,0.0,0,0.939
threat,0.01,0.0,0,0.939
obscene,0.02,0.0,0,0.939
toxicity,0.32,0.0,0,0.942
insult,0.18,0.0,0,0.942
threat,0.05,0.0,0,0.942
obscene,0.02,0.0,0,0.942
toxicity,0.15,0.0,0,1.328
insult,0.07,0.0,0,1.328
threat,0.01,0.0,0,1.328
obscene,0.02,0.0,0,1.328
toxicity,0.39,0.5,1,0.898
insult,0.31,0.4000000059604645,0,0.898
threat,0.03,0.0,0,0.898
obscene,0.22,0.10000000149011612,0,0.898
toxicity,0.49,0.20000000298023224,0,0.98
insult,0.54,0.20000000298023224,0,0.98
threat,0.05,0.0,0,0.98
obscene,0.03,0.0,0,0.98
toxicity,0.33,0.0,0,0.902
insult,0.48,0.0,0,0.902
threat,0.02,0.0,0,0.902
obscene,0.02,0.0,0,0.902
toxicity,0.06,0.0,0,0.931
insult,0.02,0.0,0,0.931
threat,0.01,0.0,0,0.931
obscene,0.01,0.0,0,0.931
toxicity,0.02,0.0,0,0.912
insult,0.02,0.0,0,0.912
threat,0.01,0.0,0,0.912
obscene,0.01,0.0,0,0.912
toxicity,0.2,0.0,0,0.969
insult,0.11,0.0,0,0.969
threat,0.02,0.0,0,0.969
obscene,0.02,0.0,0,0.969
toxicity,0.15,0.0,0,1.271
insult,0.12,0.0,0,1.271
threat,0.02,0.0,0,1.271
obscene,0.02,0.0,0,1.271
toxicity,0.57,0.0,0,0.936
insult,0.8,0.20000000298023224,0,0.936
threat,0.03,0.0,0,0.936
obscene,0.07,0.0,0,0.936
toxicity,0.25,0.0,0,0.938
insult,0.16,0.0,0,0.938
threat,0.07,0.0,0,0.938
obscene,0.02,0.0,0,0.938
toxicity,0.87,0.49152541160583496,0,0.904
insult,0.93,0.508474588394165,1,0.904
threat,0.02,0.0,0,0.904
obscene,0.19,0.033898305147886276,0,0.904
toxicity,0.24,0.0,0,0.955
insult,0.26,0.0,0,0.955
threat,0.01,0.0,0,0.955
obscene,0.01,0.0,0,0.955
toxicity,0.3,0.0,0,1.272
insult,0.25,0.0,0,1.272
threat,0.05,0.0,0,1.272
obscene,0.03,0.0,0,1.272
toxicity,0.34,0.0,0,0.961
insult,0.57,0.0,0,0.961
threat,0.04,0.0,0,0.961
obscene,0.03,0.0,0,0.961
toxicity,0.51,0.30000001192092896,0,0.897
insult,0.6,0.30000001192092896,0,0.897
threat,0.03,0.0,0,0.897
obscene,0.52,0.0,0,0.897
toxicity,0.32,0.0,0,1.267
insult,0.2,0.0,0,1.267
threat,0.02,0.0,0,1.267
obscene,0.02,0.0,0,1.267
toxicity,0.19,0.0,0,0.947
insult,0.21,0.0,0,0.947
threat,0.02,0.0,0,0.947
obscene,0.03,0.0,0,0.947
toxicity,0.16,0.0,0,0.937
insult,0.1,0.0,0,0.937
threat,0.08,0.0,0,0.937
obscene,0.03,0.0,0,0.937
toxicity,0.32,0.20000000298023224,0,0.962
insult,0.26,0.20000000298023224,0,0.962
threat,0.02,0.0,0,0.962
obscene,0.02,0.0,0,0.962
toxicity,0.36,0.0,0,0.889
insult,0.33,0.0,0,0.889
threat,0.02,0.0,0,0.889
obscene,0.02,0.0,0,0.889
toxicity,0.48,0.0,0,0.928
insult,0.34,0.0,0,0.928
threat,0.02,0.0,0,0.928
obscene,0.03,0.0,0,0.928
toxicity,0.18,0.0,0,1.246
insult,0.09,0.0,0,1.246
threat,0.03,0.0,0,1.246
obscene,0.03,0.0,0,1.246
toxicity,0.11,0.0,0,0.916
insult,0.08,0.0,0,0.916
threat,0.01,0.0,0,0.916
obscene,0.03,0.0,0,0.916
toxicity,0.17,0.0,0,0.896
insult,0.28,0.0,0,0.896
threat,0.03,0.0,0,0.896
obscene,0.02,0.0,0,0.896
toxicity,0.13,0.0,0,0.928
insult,0.09,0.0,0,0.928
threat,0.04,0.0,0,0.928
obscene,0.02,0.0,0,0.928
toxicity,0.17,0.0,0,0.971
insult,0.03,0.0,0,0.971
threat,0.02,0.0,0,0.971
obscene,0.02,0.0,0,0.971
toxicity,0.2,0.0,0,0.917
insult,0.25,0.0,0,0.917
threat,0.01,0.0,0,0.917
obscene,0.04,0.0,0,0.917
toxicity,0.08,0.0,0,0.911
insult,0.07,0.0,0,0.911
threat,0.01,0.0,0,0.911
obscene,0.01,0.0,0,0.911
toxicity,0.03,0.0,0,0.924
insult,0.02,0.0,0,0.924
threat,0.01,0.0,0,0.924
obscene,0.02,0.0,0,0.924
toxicity,0.7,0.0,0,0.91
insult,0.87,0.0,0,0.91
threat,0.03,0.0,0,0.91
obscene,0.03,0.0,0,0.91
toxicity,0.15,0.0,0,0.98
insult,0.13,0.0,0,0.98
threat,0.01,0.0,0,0.98
obscene,0.02,0.0,0,0.98
toxicity,0.16,0.0,0,0.922
insult,0.12,0.0,0,0.922
threat,0.01,0.0,0,0.922
obscene,0.02,0.0,0,0.922
toxicity,0.13,0.0,0,0.941
insult,0.11,0.0,0,0.941
threat,0.01,0.0,0,0.941
obscene,0.05,0.0,0,0.941
toxicity,0.22,0.0,0,0.95
insult,0.22,0.0,0,0.95
threat,0.02,0.0,0,0.95
obscene,0.04,0.0,0,0.95
toxicity,0.84,0.4000000059604645,0,1.267
insult,0.91,0.30000001192092896,0,1.267
threat,0.06,0.0,0,1.267
obscene,0.05,0.0,0,1.267
toxicity,0.2,0.1666666716337204,0,0.945
insult,0.07,0.1666666716337204,0,0.945
threat,0.03,0.0,0,0.945
obscene,0.12,0.1666666716337204,0,0.945
toxicity,0.13,0.0,0,0.985
insult,0.06,0.0,0,0.985
threat,0.01,0.0,0,0.985
obscene,0.01,0.0,0,0.985
toxicity,0.3,0.20000000298023224,0,0.885
insult,0.36,0.20000000298023224,0,0.885
threat,0.01,0.10000000149011612,0,0.885
obscene,0.02,0.0,0,0.885
toxicity,0.71,0.1666666716337204,0,0.862
insult,0.89,0.1666666716337204,0,0.862
threat,0.36,0.0,0,0.862
obscene,0.08,0.0,0,0.862
toxicity,0.11,0.0,0,0.972
insult,0.08,0.0,0,0.972
threat,0.01,0.0,0,0.972
obscene,0.02,0.0,0,0.972
toxicity,0.21,0.0,0,0.967
insult,0.15,0.0,0,0.967
threat,0.05,0.0,0,0.967
obscene,0.02,0.0,0,0.967
toxicity,0.23,0.0,0,0.946
insult,0.2,0.0,0,0.946
threat,0.01,0.0,0,0.946
obscene,0.03,0.0,0,0.946
toxicity,0.31,0.625,1,0.985
insult,0.29,0.08749999850988388,0,0.985
threat,0.03,0.5375000238418579,1,0.985
obscene,0.05,0.0,0,0.985
toxicity,0.11,0.0,0,1.859
insult,0.06,0.0,0,1.859
threat,0.01,0.0,0,1.859
obscene,0.02,0.0,0,1.859
toxicity,0.11,0.0,0,0.866
insult,0.03,0.0,0,0.866
threat,0.01,0.0,0,0.866
obscene,0.02,0.0,0,0.866
toxicity,0.55,0.0,0,1.295
insult,0.26,0.0,0,1.295
threat,0.01,0.0,0,1.295
obscene,0.02,0.0,0,1.295
toxicity,0.01,0.0,0,0.887
insult,0.01,0.0,0,0.887
threat,0.01,0.0,0,0.887
obscene,0.01,0.0,0,0.887
toxicity,0.45,0.0,0,0.881
insult,0.23,0.0,0,0.881
threat,0.01,0.0,0,0.881
obscene,0.03,0.0,0,0.881
toxicity,0.24,0.0,0,0.958
insult,0.16,0.0,0,0.958
threat,0.03,0.0,0,0.958
obscene,0.04,0.0,0,0.958
toxicity,0.55,0.0,0,0.916
insult,0.33,0.0,0,0.916
threat,0.01,0.0,0,0.916
obscene,0.02,0.0,0,0.916
toxicity,0.36,0.0,0,0.941
insult,0.55,0.0,0,0.941
threat,0.01,0.0,0,0.941
obscene,0.03,0.0,0,0.941
toxicity,0.36,0.0,0,0.968
insult,0.42,0.0,0,0.968
threat,0.02,0.0,0,0.968
obscene,0.02,0.0,0,0.968
toxicity,0.25,0.0,0,0.888
insult,0.26,0.0,0,0.888
threat,0.01,0.0,0,0.888
obscene,0.02,0.0,0,0.888
toxicity,0.04,0.0,0,0.902
insult,0.03,0.0,0,0.902
threat,0.01,0.0,0,0.902
obscene,0.02,0.0,0,0.902
toxicity,0.33,0.0,0,1.276
insult,0.36,0.0,0,1.276
threat,0.03,0.0,0,1.276
obscene,0.02,0.0,0,1.276
toxicity,0.42,0.0,0,0.906
insult,0.5,0.0,0,0.906
threat,0.03,0.0,0,0.906
obscene,0.02,0.0,0,0.906
toxicity,0.61,0.4000000059604645,0,0.893
insult,0.68,0.20000000298023224,0,0.893
threat,0.02,0.0,0,0.893
obscene,0.03,0.0,0,0.893
toxicity,0.17,0.0,0,0.918
insult,0.04,0.0,0,0.918
threat,0.07,0.0,0,0.918
obscene,0.02,0.0,0,0.918
toxicity,0.09,0.0,0,0.971
insult,0.03,0.0,0,0.971
threat,0.01,0.0,0,0.971
obscene,0.01,0.0,0,0.971
toxicity,0.04,0.0,0,0.958
insult,0.04,0.0,0,0.958
threat,0.01,0.0,0,0.958
obscene,0.01,0.0,0,0.958
toxicity,0.35,0.0,0,0.921
insult,0.46,0.0,0,0.921
threat,0.02,0.0,0,0.921
obscene,0.06,0.0,0,0.921
toxicity,0.03,0.0,0,0.928
insult,0.01,0.0,0,0.928
threat,0.01,0.0,0,0.928
obscene,0.01,0.0,0,0.928
toxicity,0.28,0.0,0,0.898
insult,0.26,0.0,0,0.898
threat,0.01,0.0,0,0.898
obscene,0.02,0.0,0,0.898
toxicity,0.44,0.1666666716337204,0,0.89
insult,0.44,0.0,0,0.89
threat,0.02,0.1666666716337204,0,0.89
obscene,0.02,0.0,0,0.89
toxicity,0.23,0.0,0,0.977
insult,0.21,0.0,0,0.977
threat,0.04,0.0,0,0.977
obscene,0.03,0.0,0,0.977
toxicity,0.07,0.1666666716337204,0,1.317
insult,0.03,0.0,0,1.317
threat,0.01,0.0,0,1.317
obscene,0.01,0.0,0,1.317
toxicity,0.49,0.1666666716337204,0,0.977
insult,0.8,0.0,0,0.977
threat,0.02,0.1666666716337204,0,0.977
obscene,0.03,0.0,0,0.977
toxicity,0.35,0.1666666716337204,0,0.934
insult,0.42,0.1666666716337204,0,0.934
threat,0.01,0.0,0,0.934
obscene,0.02,0.0,0,0.934
toxicity,0.27,0.20000000298023224,0,0.897
insult,0.11,0.0,0,0.897
threat,0.31,0.20000000298023224,0,0.897
obscene,0.05,0.0,0,0.897
toxicity,0.29,0.0,0,0.939
insult,0.4,0.0,0,0.939
threat,0.01,0.0,0,0.939
obscene,0.02,0.0,0,0.939
toxicity,0.15,0.1666666716337204,0,1.265
insult,0.09,0.0,0,1.265
threat,0.01,0.1666666716337204,0,1.265
obscene,0.02,0.0,0,1.265
toxicity,0.61,0.8428571224212646,1,0.933
insult,0.86,0.8428571224212646,1,0.933
threat,0.02,0.0,0,0.933
obscene,0.15,0.2857142984867096,0,0.933
toxicity,0.55,0.1666666716337204,0,0.885
insult,0.23,0.0,0,0.885
threat,0.72,0.1666666716337204,0,0.885
obscene,0.11,0.0,0,0.885
toxicity,0.14,0.0,0,0.894
insult,0.08,0.0,0,0.894
threat,0.01,0.0,0,0.894
obscene,0.03,0.0,0,0.894
toxicity,0.15,0.0,0,0.962
insult,0.16,0.0,0,0.962
threat,0.01,0.0,0,0.962
obscene,0.02,0.0,0,0.962
toxicity,0.02,0.0,0,0.896
insult,0.01,0.0,0,0.896
threat,0.01,0.0,0,0.896
obscene,0.01,0.0,0,0.896
toxicity,0.14,0.0,0,0.926
insult,0.29,0.0,0,0.926
threat,0.01,0.0,0,0.926
obscene,0.02,0.0,0,0.926
toxicity,0.15,0.1666666716337204,0,0.965
insult,0.1,0.1666666716337204,0,0.965
threat,0.02,0.0,0,0.965
obscene,0.05,0.0,0,0.965
toxicity,0.16,0.0,0,0.932
insult,0.1,0.0,0,0.932
threat,0.01,0.0,0,0.932
obscene,0.02,0.0,0,0.932
toxicity,0.18,0.1666666716337204,0,0.935
insult,0.22,0.1666666716337204,0,0.935
threat,0.03,0.0,0,0.935
obscene,0.02,0.0,0,0.935
toxicity,0.37,0.20000000298023224,0,0.88
insult,0.6,0.20000000298023224,0,0.88
threat,0.04,0.0,0,0.88
obscene,0.03,0.0,0,0.88
toxicity,0.72,0.1666666716337204,0,0.877
insult,0.74,0.0,0,0.877
threat,0.48,0.1666666716337204,0,0.877
obscene,0.26,0.0,0,0.877
toxicity,0.3,0.0,0,1.954
insult,0.13,0.0,0,1.954
threat,0.02,0.0,0,1.954
obscene,0.02,0.0,0,1.954
toxicity,0.26,0.0,0,0.936
insult,0.16,0.0,0,0.936
threat,0.04,0.0,0,0.936
obscene,0.04,0.0,0,0.936
toxicity,0.59,0.4000000059604645,0,0.973
insult,0.46,0.0,0,0.973
threat,0.04,0.0,0,0.973
obscene,0.02,0.0,0,0.973
toxicity,0.02,0.0,0,0.906
insult,0.01,0.0,0,0.906
threat,0.01,0.0,0,0.906
obscene,0.01,0.0,0,0.906
toxicity,0.11,0.0,0,0.935
insult,0.09,0.0,0,0.935
threat,0.01,0.0,0,0.935
obscene,0.04,0.0,0,0.935
toxicity,0.55,0.20000000298023224,0,0.884
insult,0.52,0.0,0,0.884
threat,0.35,0.20000000298023224,0,0.884
obscene,0.03,0.0,0,0.884
toxicity,0.53,0.0,0,0.949
insult,0.55,0.0,0,0.949
threat,0.02,0.0,0,0.949
obscene,0.33,0.0,0,0.949
toxicity,0.12,0.0,0,0.917
insult,0.1,0.0,0,0.917
threat,0.01,0.0,0,0.917
obscene,0.02,0.0,0,0.917
toxicity,0.46,0.1666666716337204,0,0.947
insult,0.61,0.1666666716337204,0,0.947
threat,0.02,0.0,0,0.947
obscene,0.04,0.0,0,0.947
toxicity,0.26,0.1666666716337204,0,1.014
insult,0.16,0.0,0,1.014
threat,0.01,0.0,0,1.014
obscene,0.03,0.0,0,1.014
toxicity,0.39,0.7846153974533081,1,0.916
insult,0.8,0.7846153974533081,1,0.916
threat,0.03,0.0,0,0.916
obscene,0.3,0.03076923079788685,0,0.916
toxicity,0.31,0.20000000298023224,0,0.941
insult,0.28,0.20000000298023224,0,0.941
threat,0.02,0.0,0,0.941
obscene,0.07,0.0,0,0.941
toxicity,0.39,0.0,0,0.959
insult,0.87,0.0,0,0.959
threat,0.02,0.0,0,0.959
obscene,0.04,0.0,0,0.959
toxicity,0.19,0.0,0,2.377
insult,0.13,0.0,0,2.377
threat,0.01,0.0,0,2.377
obscene,0.02,0.0,0,2.377
toxicity,0.21,0.0,0,0.981
insult,0.16,0.0,0,0.981
threat,0.01,0.0,0,0.981
obscene,0.02,0.0,0,0.981
toxicity,0.22,0.20000000298023224,0,0.898
insult,0.33,0.10000000149011612,0,0.898
threat,0.02,0.0,0,0.898
obscene,0.21,0.20000000298023224,0,0.898
toxicity,0.8,0.46666666865348816,0,0.936
insult,0.94,0.4266666769981384,0,0.936
threat,0.02,0.0,0,0.936
obscene,0.04,0.03999999910593033,0,0.936
toxicity,0.34,0.0,0,0.89
insult,0.36,0.0,0,0.89
threat,0.02,0.0,0,0.89
obscene,0.04,0.0,0,0.89
toxicity,0.6,0.0,0,0.921
insult,0.45,0.0,0,0.921
threat,0.15,0.0,0,0.921
obscene,0.07,0.0,0,0.921
toxicity,0.15,0.0,0,0.895
insult,0.04,0.0,0,0.895
threat,0.01,0.0,0,0.895
obscene,0.03,0.0,0,0.895
toxicity,0.15,0.0,0,0.904
insult,0.05,0.0,0,0.904
threat,0.02,0.0,0,0.904
obscene,0.03,0.0,0,0.904
toxicity,0.42,0.0,0,0.883
insult,0.42,0.0,0,0.883
threat,0.01,0.0,0,0.883
obscene,0.03,0.0,0,0.883
toxicity,0.21,0.0,0,0.946
insult,0.11,0.0,0,0.946
threat,0.02,0.0,0,0.946
obscene,0.05,0.0,0,0.946
toxicity,0.88,0.5405405163764954,1,1.034
insult,0.95,0.5270270109176636,1,1.034
threat,0.03,0.0,0,1.034
obscene,0.08,0.027027027681469917,0,1.034
toxicity,0.25,0.0,0,0.976
insult,0.16,0.0,0,0.976
threat,0.03,0.0,0,0.976
obscene,0.04,0.0,0,0.976
toxicity,0.04,0.0,0,1.332
insult,0.02,0.0,0,1.332
threat,0.01,0.0,0,1.332
obscene,0.01,0.0,0,1.332
toxicity,0.13,0.0,0,0.909
insult,0.08,0.0,0,0.909
threat,0.01,0.0,0,0.909
obscene,0.01,0.0,0,0.909
toxicity,0.77,0.30000001192092896,0,0.934
insult,0.91,0.30000001192092896,0,0.934
threat,0.03,0.0,0,0.934
obscene,0.12,0.0,0,0.934
toxicity,0.11,0.20000000298023224,0,0.964
insult,0.08,0.20000000298023224,0,0.964
threat,0.01,0.0,0,0.964
obscene,0.02,0.0,0,0.964
toxicity,0.52,0.4000000059604645,0,3.951
insult,0.36,0.10000000149011612,0,3.951
threat,0.05,0.10000000149011612,0,3.951
obscene,0.03,0.0,0,3.951
toxicity,0.82,0.1666666716337204,0,4.126
insult,0.92,0.1666666716337204,0,4.126
threat,0.04,0.0,0,4.126
obscene,0.08,0.0,0,4.126
toxicity,0.7,0.1666666716337204,0,4.292
insult,0.58,0.1666666716337204,0,4.292
threat,0.02,0.0,0,4.292
obscene,0.02,0.0,0,4.292
toxicity,0.15,0.0,0,4.278
insult,0.06,0.0,0,4.278
threat,0.02,0.0,0,4.278
obscene,0.02,0.0,0,4.278
toxicity,0.3,0.0,0,0.932
insult,0.16,0.0,0,0.932
threat,0.02,0.0,0,0.932
obscene,0.02,0.0,0,0.932
toxicity,0.15,0.0,0,4.558
insult,0.04,0.0,0,4.558
threat,0.01,0.0,0,4.558
obscene,0.01,0.0,0,4.558
toxicity,0.37,0.0,0,4.477
insult,0.21,0.0,0,4.477
threat,0.02,0.0,0,4.477
obscene,0.02,0.0,0,4.477
toxicity,0.78,0.1666666716337204,0,4.31
insult,0.87,0.1666666716337204,0,4.31
threat,0.02,0.0,0,4.31
