question,p,human_fraction,outcome,latency_s
insult,0.42,0.0,0,0.887
threat,0.01,0.0,0,0.887
obscene,0.03,0.0,0,0.887
toxicity,0.26,0.125,0,0.924
insult,0.67,0.125,0,0.924
threat,0.01,0.0,0,0.924
obscene,0.03,0.0,0,0.924
toxicity,0.4,0.0,0,0.937
insult,0.77,0.0,0,0.937
threat,0.03,0.0,0,0.937
obscene,0.04,0.0,0,0.937
toxicity,0.4,0.0,0,0.939
insult,0.29,0.0,0,0.939
threat,0.02,0.0,0,0.939
obscene,0.08,0.0,0,0.939
toxicity,0.26,0.0,0,0.921
insult,0.51,0.0,0,0.921
threat,0.04,0.0,0,0.921
obscene,0.02,0.0,0,0.921
toxicity,0.57,0.0,0,0.92
insult,0.81,0.0,0,0.92
threat,0.03,0.0,0,0.92
obscene,0.03,0.0,0,0.92
toxicity,0.21,0.1666666716337204,0,0.929
insult,0.1,0.1666666716337204,0,0.929
threat,0.01,0.1666666716337204,0,0.929
obscene,0.02,0.0,0,0.929
toxicity,0.17,0.0,0,0.91
insult,0.14,0.0,0,0.91
threat,0.02,0.0,0,0.91
obscene,0.02,0.0,0,0.91
toxicity,0.32,0.0,0,0.876
insult,0.34,0.0,0,0.876
threat,0.01,0.0,0,0.876
obscene,0.02,0.0,0,0.876
toxicity,0.07,0.0,0,1.311
insult,0.02,0.0,0,1.311
threat,0.01,0.0,0,1.311
obscene,0.02,0.0,0,1.311
toxicity,0.64,0.1666666716337204,0,1.32
insult,0.92,0.0,0,1.32
threat,0.05,0.0,0,1.32
obscene,0.06,0.0,0,1.32
toxicity,0.2,0.0,0,1.246
insult,0.12,0.0,0,1.246
threat,0.02,0.0,0,1.246
obscene,0.03,0.0,0,1.246
toxicity,0.05,0.0,0,0.898
insult,0.03,0.0,0,0.898
threat,0.01,0.0,0,0.898
obscene,0.02,0.0,0,0.898
toxicity,0.53,0.0,0,0.961
insult,0.6,0.0,0,0.961
threat,0.2,0.0,0,0.961
obscene,0.04,0.0,0,0.961
toxicity,0.32,0.1666666716337204,0,0.917
insult,0.21,0.1666666716337204,0,0.917
threat,0.01,0.0,0,0.917
obscene,0.03,0.0,0,0.917
toxicity,0.31,0.0,0,1.013
insult,0.09,0.0,0,1.013
threat,0.02,0.0,0,1.013
obscene,0.03,0.0,0,1.013
toxicity,0.4,0.0,0,0.942
insult,0.38,0.0,0,0.942
threat,0.03,0.0,0,0.942
obscene,0.04,0.0,0,0.942
toxicity,0.23,0.0,0,0.939
insult,0.31,0.0,0,0.939
threat,0.01,0.0,0,0.939
obscene,0.02,0.0,0,0.939
toxicity,0.38,0.0,0,0.947
insult,0.44,0.0,0,0.947
threat,0.02,0.0,0,0.947
obscene,0.02,0.0,0,0.947
toxicity,0.6,0.30000001192092896,0,1.306
insult,0.62,0.10000000149011612,0,1.306
threat,0.02,0.0,0,1.306
obscene,0.09,0.0,0,1.306
toxicity,0.81,0.5909090638160706,1,0.942
insult,0.97,0.5909090638160706,1,0.942
threat,0.11,0.0,0,0.942
obscene,0.16,0.19696970283985138,0,0.942
toxicity,0.05,0.20000000298023224,0,0.884
insult,0.03,0.0,0,0.884
threat,0.01,0.20000000298023224,0,0.884
obscene,0.03,0.0,0,0.884
toxicity,0.21,0.0,0,0.992
insult,0.13,0.0,0,0.992
threat,0.02,0.0,0,0.992
obscene,0.04,0.0,0,0.992
toxicity,0.82,0.0,0,0.895
insult,0.89,0.0,0,0.895
threat,0.03,0.0,0,0.895
obscene,0.09,0.0,0,0.895
toxicity,0.43,0.0,0,0.912
insult,0.81,0.0,0,0.912
threat,0.05,0.0,0,0.912
obscene,0.03,0.0,0,0.912
toxicity,0.3,0.0,0,0.941
insult,0.15,0.0,0,0.941
threat,0.04,0.0,0,0.941
obscene,0.03,0.0,0,0.941
toxicity,0.15,0.0,0,0.943
insult,0.13,0.0,0,0.943
threat,0.01,0.0,0,0.943
obscene,0.02,0.0,0,0.943
toxicity,0.62,0.4000000059604645,0,0.936
insult,0.88,0.5,1,0.936
threat,0.02,0.0,0,0.936
obscene,0.03,0.0,0,0.936
toxicity,0.42,0.0,0,0.93
insult,0.07,0.0,0,0.93
threat,0.05,0.0,0,0.93
obscene,0.03,0.0,0,0.93
toxicity,0.69,0.0,0,0.948
insult,0.92,0.0,0,0.948
threat,0.03,0.0,0,0.948
obscene,0.09,0.0,0,0.948
toxicity,0.09,0.0,0,0.944
insult,0.2,0.0,0,0.944
threat,0.01,0.0,0,0.944
obscene,0.03,0.0,0,0.944
toxicity,0.25,0.0,0,0.906
insult,0.58,0.0,0,0.906
threat,0.01,0.0,0,0.906
obscene,0.02,0.0,0,0.906
toxicity,0.34,0.0,0,0.921
insult,0.26,0.0,0,0.921
threat,0.02,0.0,0,0.921
obscene,0.02,0.0,0,0.921
toxicity,0.23,0.0,0,0.913
insult,0.12,0.0,0,0.913
threat,0.01,0.0,0,0.913
obscene,0.03,0.0,0,0.913
toxicity,0.47,0.0,0,0.898
insult,0.3,0.0,0,0.898
threat,0.07,0.0,0,0.898
obscene,0.03,0.0,0,0.898
toxicity,0.46,0.5,1,0.923
insult,0.51,0.4000000059604645,0,0.923
threat,0.03,0.0,0,0.923
obscene,0.24,0.10000000149011612,0,0.923
toxicity,0.53,0.20000000298023224,0,0.895
insult,0.82,0.20000000298023224,0,0.895
threat,0.06,0.0,0,0.895
obscene,0.04,0.0,0,0.895
toxicity,0.1,0.0,0,0.935
insult,0.04,0.0,0,0.935
threat,0.01,0.0,0,0.935
obscene,0.02,0.0,0,0.935
toxicity,0.4,0.0,0,0.899
insult,0.7,0.0,0,0.899
threat,0.02,0.0,0,0.899
obscene,0.03,0.0,0,0.899
toxicity,0.24,0.0,0,0.894
insult,0.3,0.0,0,0.894
threat,0.02,0.0,0,0.894
obscene,0.03,0.0,0,0.894
toxicity,0.03,0.0,0,0.913
insult,0.02,0.0,0,0.913
threat,0.01,0.0,0,0.913
obscene,0.02,0.0,0,0.913
toxicity,0.28,0.0,0,0.96
insult,0.35,0.0,0,0.96
threat,0.03,0.0,0,0.96
obscene,0.03,0.0,0,0.96
toxicity,0.7,0.0,0,0.985
insult,0.85,0.20000000298023224,0,0.985
threat,0.04,0.0,0,0.985
obscene,0.09,0.0,0,0.985
toxicity,0.3,0.0,0,0.972
insult,0.64,0.0,0,0.972
threat,0.14,0.0,0,0.972
obscene,0.05,0.0,0,0.972
toxicity,0.33,0.0,0,0.922
insult,0.32,0.0,0,0.922
threat,0.09,0.0,0,0.922
obscene,0.03,0.0,0,0.922
toxicity,0.87,0.49152541160583496,0,0.917
insult,0.94,0.508474588394165,1,0.917
threat,0.02,0.0,0,0.917
obscene,0.19,0.033898305147886276,0,0.917
toxicity,0.3,0.0,0,0.959
insult,0.59,0.0,0,0.959
threat,0.01,0.0,0,0.959
obscene,0.03,0.0,0,0.959
toxicity,0.49,0.0,0,0.921
insult,0.47,0.0,0,0.921
threat,0.03,0.0,0,0.921
obscene,0.03,0.0,0,0.921
toxicity,0.39,0.0,0,0.952
insult,0.78,0.0,0,0.952
threat,0.09,0.0,0,0.952
obscene,0.03,0.0,0,0.952
toxicity,0.7,0.30000001192092896,0,0.974
insult,0.87,0.30000001192092896,0,0.974
threat,0.04,0.0,0,0.974
obscene,0.49,0.0,0,0.974
toxicity,0.29,0.0,0,0.954
insult,0.5,0.0,0,0.954
threat,0.02,0.0,0,0.954
obscene,0.04,0.0,0,0.954
toxicity,0.24,0.0,0,0.938
insult,0.15,0.0,0,0.938
threat,0.05,0.0,0,0.938
obscene,0.04,0.0,0,0.938
toxicity,0.29,0.0,0,0.942
insult,0.13,0.0,0,0.942
threat,0.04,0.0,0,0.942
obscene,0.04,0.0,0,0.942
toxicity,0.48,0.20000000298023224,0,0.907
insult,0.37,0.20000000298023224,0,0.907
threat,0.03,0.0,0,0.907
obscene,0.03,0.0,0,0.907
toxicity,0.55,0.0,0,0.881
insult,0.78,0.0,0,0.881
threat,0.03,0.0,0,0.881
obscene,0.04,0.0,0,0.881
toxicity,0.15,0.0,0,0.937
insult,0.1,0.0,0,0.937
threat,0.02,0.0,0,0.937
obscene,0.04,0.0,0,0.937
toxicity,0.48,0.0,0,0.956
insult,0.63,0.0,0,0.956
threat,0.02,0.0,0,0.956
obscene,0.03,0.0,0,0.956
toxicity,0.46,0.0,0,0.875
insult,0.06,0.0,0,0.875
threat,0.04,0.0,0,0.875
obscene,0.02,0.0,0,0.875
toxicity,0.21,0.0,0,0.986
insult,0.32,0.0,0,0.986
threat,0.04,0.0,0,0.986
obscene,0.04,0.0,0,0.986
toxicity,0.25,0.0,0,1.263
insult,0.13,0.0,0,1.263
threat,0.04,0.0,0,1.263
obscene,0.03,0.0,0,1.263
toxicity,0.32,0.0,0,0.906
insult,0.35,0.0,0,0.906
threat,0.02,0.0,0,0.906
obscene,0.05,0.0,0,0.906
toxicity,0.11,0.0,0,0.931
insult,0.23,0.0,0,0.931
threat,0.01,0.0,0,0.931
obscene,0.02,0.0,0,0.931
toxicity,0.06,0.0,0,0.952
insult,0.03,0.0,0,0.952
threat,0.01,0.0,0,0.952
obscene,0.02,0.0,0,0.952
toxicity,0.79,0.0,0,0.889
insult,0.86,0.0,0,0.889
threat,0.03,0.0,0,0.889
obscene,0.04,0.0,0,0.889
toxicity,0.2,0.0,0,0.917
insult,0.32,0.0,0,0.917
threat,0.01,0.0,0,0.917
obscene,0.03,0.0,0,0.917
toxicity,0.25,0.0,0,0.943
insult,0.24,0.0,0,0.943
threat,0.01,0.0,0,0.943
obscene,0.04,0.0,0,0.943
toxicity,0.23,0.0,0,0.869
insult,0.24,0.0,0,0.869
threat,0.02,0.0,0,0.869
obscene,0.06,0.0,0,0.869
toxicity,0.9,0.4000000059604645,0,1.017
insult,0.93,0.30000001192092896,0,1.017
threat,0.07,0.0,0,1.017
obscene,0.07,0.0,0,1.017
toxicity,0.2,0.0,0,0.861
insult,0.08,0.0,0,0.861
threat,0.01,0.0,0,0.861
obscene,0.02,0.0,0,0.861
toxicity,0.32,0.0,0,0.953
insult,0.43,0.0,0,0.953
threat,0.02,0.0,0,0.953
obscene,0.05,0.0,0,0.953
toxicity,0.33,0.1666666716337204,0,0.906
insult,0.11,0.1666666716337204,0,0.906
threat,0.06,0.0,0,0.906
obscene,0.07,0.1666666716337204,0,0.906
toxicity,0.14,0.0,0,0.901
insult,0.09,0.0,0,0.901
threat,0.01,0.0,0,0.901
obscene,0.02,0.0,0,0.901
toxicity,0.39,0.20000000298023224,0,1.015
insult,0.53,0.20000000298023224,0,1.015
threat,0.02,0.10000000149011612,0,1.015
obscene,0.03,0.0,0,1.015
toxicity,0.13,0.0,0,0.865
insult,0.14,0.0,0,0.865
threat,0.01,0.0,0,0.865
obscene,0.03,0.0,0,0.865
toxicity,0.78,0.1666666716337204,0,0.978
insult,0.91,0.1666666716337204,0,0.978
threat,0.47,0.0,0,0.978
obscene,0.09,0.0,0,0.978
toxicity,0.26,0.0,0,0.983
insult,0.39,0.0,0,0.983
threat,0.07,0.0,0,0.983
obscene,0.02,0.0,0,0.983
toxicity,0.63,0.0,0,0.926
insult,0.74,0.0,0,0.926
threat,0.02,0.0,0,0.926
obscene,0.03,0.0,0,0.926
toxicity,0.36,0.0,0,0.941
insult,0.31,0.0,0,0.941
threat,0.02,0.0,0,0.941
obscene,0.04,0.0,0,0.941
toxicity,0.52,0.625,1,0.917
insult,0.45,0.08749999850988388,0,0.917
threat,0.04,0.5375000238418579,1,0.917
obscene,0.05,0.0,0,0.917
toxicity,0.01,0.0,0,0.931
insult,0.01,0.0,0,0.931
threat,0.01,0.0,0,0.931
obscene,0.02,0.0,0,0.931
toxicity,0.15,0.0,0,1.104
insult,0.05,0.0,0,1.104
threat,0.01,0.0,0,1.104
obscene,0.02,0.0,0,1.104
toxicity,0.58,0.0,0,0.988
insult,0.4,0.0,0,0.988
threat,0.02,0.0,0,0.988
obscene,0.05,0.0,0,0.988
toxicity,0.36,0.0,0,0.94
insult,0.26,0.0,0,0.94
threat,0.03,0.0,0,0.94
obscene,0.06,0.0,0,0.94
toxicity,0.64,0.0,0,0.942
insult,0.59,0.0,0,0.942
threat,0.02,0.0,0,0.942
obscene,0.03,0.0,0,0.942
toxicity,0.51,0.0,0,0.933
insult,0.7,0.0,0,0.933
threat,0.02,0.0,0,0.933
obscene,0.04,0.0,0,0.933
toxicity,0.46,0.0,0,0.916
insult,0.74,0.0,0,0.916
threat,0.02,0.0,0,0.916
obscene,0.03,0.0,0,0.916
toxicity,0.42,0.0,0,0.986
insult,0.58,0.0,0,0.986
threat,0.05,0.0,0,0.986
obscene,0.03,0.0,0,0.986
toxicity,0.06,0.0,0,0.878
insult,0.06,0.0,0,0.878
threat,0.01,0.0,0,0.878
obscene,0.02,0.0,0,0.878
toxicity,0.28,0.0,0,0.963
insult,0.72,0.0,0,0.963
threat,0.01,0.0,0,0.963
obscene,0.02,0.0,0,0.963
toxicity,0.35,0.0,0,0.881
insult,0.08,0.0,0,0.881
threat,0.15,0.0,0,0.881
obscene,0.03,0.0,0,0.881
toxicity,0.76,0.4000000059604645,0,0.943
insult,0.84,0.20000000298023224,0,0.943
threat,0.02,0.0,0,0.943
obscene,0.04,0.0,0,0.943
toxicity,0.06,0.0,0,0.866
insult,0.05,0.0,0,0.866
threat,0.01,0.0,0,0.866
obscene,0.02,0.0,0,0.866
toxicity,0.14,0.0,0,0.973
insult,0.05,0.0,0,0.973
threat,0.01,0.0,0,0.973
obscene,0.02,0.0,0,0.973
toxicity,0.52,0.0,0,0.995
insult,0.66,0.0,0,0.995
threat,0.03,0.0,0,0.995
obscene,0.1,0.0,0,0.995
toxicity,0.04,0.0,0,0.87
insult,0.01,0.0,0,0.87
threat,0.01,0.0,0,0.87
obscene,0.02,0.0,0,0.87
toxicity,0.37,0.0,0,0.916
insult,0.38,0.0,0,0.916
threat,0.02,0.0,0,0.916
obscene,0.03,0.0,0,0.916
toxicity,0.08,0.1666666716337204,0,0.885
insult,0.05,0.0,0,0.885
threat,0.01,0.0,0,0.885
obscene,0.02,0.0,0,0.885
toxicity,0.33,0.0,0,0.935
insult,0.47,0.0,0,0.935
threat,0.05,0.0,0,0.935
obscene,0.05,0.0,0,0.935
toxicity,0.51,0.1666666716337204,0,0.926
insult,0.78,0.0,0,0.926
threat,0.02,0.1666666716337204,0,0.926
obscene,0.03,0.0,0,0.926
toxicity,0.6,0.0,0,2.263
insult,0.74,0.0,0,2.263
threat,0.03,0.0,0,2.263
obscene,0.03,0.0,0,2.263
toxicity,0.37,0.1666666716337204,0,0.982
insult,0.78,0.1666666716337204,0,0.982
threat,0.02,0.0,0,0.982
obscene,0.03,0.0,0,0.982
toxicity,0.21,0.1666666716337204,0,1.0
insult,0.19,0.0,0,1.0
threat,0.01,0.1666666716337204,0,1.0
obscene,0.02,0.0,0,1.0
toxicity,0.47,0.0,0,0.94
insult,0.71,0.0,0,0.94
threat,0.02,0.0,0,0.94
obscene,0.03,0.0,0,0.94
toxicity,0.7,0.8428571224212646,1,0.912
insult,0.86,0.8428571224212646,1,0.912
threat,0.03,0.0,0,0.912
obscene,0.12,0.2857142984867096,0,0.912
toxicity,0.45,0.20000000298023224,0,1.327
insult,0.22,0.0,0,1.327
threat,0.51,0.20000000298023224,0,1.327
obscene,0.09,0.0,0,1.327
toxicity,0.69,0.1666666716337204,0,1.146
insult,0.49,0.0,0,1.146
threat,0.84,0.1666666716337204,0,1.146
obscene,0.11,0.0,0,1.146
toxicity,0.19,0.0,0,0.951
insult,0.19,0.0,0,0.951
threat,0.01,0.0,0,0.951
obscene,0.04,0.0,0,0.951
toxicity,0.43,0.0,0,0.866
insult,0.36,0.0,0,0.866
threat,0.02,0.0,0,0.866
obscene,0.03,0.0,0,0.866
toxicity,0.02,0.0,0,0.954
insult,0.02,0.0,0,0.954
threat,0.01,0.0,0,0.954
obscene,0.02,0.0,0,0.954
toxicity,0.65,0.1666666716337204,0,2.22
insult,0.9,0.0,0,2.22
threat,0.02,0.1666666716337204,0,2.22
obscene,0.04,0.0,0,2.22
toxicity,0.21,0.0,0,1.386
insult,0.31,0.0,0,1.386
threat,0.02,0.0,0,1.386
obscene,0.03,0.0,0,1.386
toxicity,0.19,0.0,0,0.899
insult,0.31,0.0,0,0.899
threat,0.02,0.0,0,0.899
obscene,0.03,0.0,0,0.899
toxicity,0.35,0.1666666716337204,0,0.937
insult,0.24,0.1666666716337204,0,0.937
threat,0.02,0.0,0,0.937
obscene,0.05,0.0,0,0.937
toxicity,0.28,0.1666666716337204,0,0.917
insult,0.3,0.1666666716337204,0,0.917
threat,0.04,0.0,0,0.917
obscene,0.03,0.0,0,0.917
toxicity,0.87,0.1666666716337204,0,0.915
insult,0.82,0.0,0,0.915
threat,0.72,0.1666666716337204,0,0.915
obscene,0.24,0.0,0,0.915
toxicity,0.39,0.0,0,0.986
insult,0.25,0.0,0,0.986
threat,0.05,0.0,0,0.986
obscene,0.04,0.0,0,0.986
toxicity,0.49,0.20000000298023224,0,1.263
insult,0.79,0.20000000298023224,0,1.263
threat,0.06,0.0,0,1.263
obscene,0.05,0.0,0,1.263
toxicity,0.78,0.4000000059604645,0,0.887
insult,0.73,0.0,0,0.887
threat,0.05,0.0,0,0.887
obscene,0.03,0.0,0,0.887
toxicity,0.29,0.0,0,0.944
insult,0.19,0.0,0,0.944
threat,0.02,0.0,0,0.944
obscene,0.03,0.0,0,0.944
toxicity,0.03,0.0,0,0.892
insult,0.02,0.0,0,0.892
threat,0.01,0.0,0,0.892
obscene,0.01,0.0,0,0.892
toxicity,0.15,0.0,0,0.924
insult,0.08,0.0,0,0.924
threat,0.01,0.0,0,0.924
obscene,0.03,0.0,0,0.924
toxicity,0.25,0.0,0,2.045
insult,0.14,0.0,0,2.045
threat,0.02,0.0,0,2.045
obscene,0.02,0.0,0,2.045
toxicity,0.7,0.20000000298023224,0,0.924
insult,0.67,0.0,0,0.924
threat,0.44,0.20000000298023224,0,0.924
obscene,0.04,0.0,0,0.924
toxicity,0.66,0.0,0,0.926
insult,0.72,0.0,0,0.926
threat,0.03,0.0,0,0.926
obscene,0.29,0.0,0,0.926
toxicity,0.14,0.0,0,0.888
insult,0.2,0.0,0,0.888
threat,0.02,0.0,0,0.888
obscene,0.03,0.0,0,0.888
toxicity,0.53,0.1666666716337204,0,0.902
insult,0.66,0.1666666716337204,0,0.902
threat,0.02,0.0,0,0.902
obscene,0.06,0.0,0,0.902
toxicity,0.32,0.1666666716337204,0,0.917
insult,0.23,0.0,0,0.917
threat,0.02,0.0,0,0.917
obscene,0.04,0.0,0,0.917
toxicity,0.61,0.7846153974533081,1,0.882
insult,0.93,0.7846153974533081,1,0.882
threat,0.03,0.0,0,0.882
obscene,0.25,0.03076923079788685,0,0.882
toxicity,0.5,0.20000000298023224,0,0.89
insult,0.36,0.20000000298023224,0,0.89
threat,0.03,0.0,0,0.89
obscene,0.06,0.0,0,0.89
toxicity,0.49,0.0,0,0.907
insult,0.87,0.0,0,0.907
threat,0.02,0.0,0,0.907
obscene,0.04,0.0,0,0.907
toxicity,0.36,0.0,0,0.903
insult,0.18,0.0,0,0.903
threat,0.01,0.0,0,0.903
obscene,0.03,0.0,0,0.903
toxicity,0.31,0.20000000298023224,0,0.917
insult,0.62,0.10000000149011612,0,0.917
threat,0.02,0.0,0,0.917
obscene,0.25,0.20000000298023224,0,0.917
toxicity,0.79,0.46666666865348816,0,0.889
insult,0.96,0.4266666769981384,0,0.889
threat,0.02,0.0,0,0.889
obscene,0.06,0.03999999910593033,0,0.889
toxicity,0.75,0.0,0,0.914
insult,0.64,0.0,0,0.914
threat,0.14,0.0,0,0.914
obscene,0.1,0.0,0,0.914
toxicity,0.2,0.0,0,0.905
insult,0.08,0.0,0,0.905
threat,0.01,0.0,0,0.905
obscene,0.04,0.0,0,0.905
toxicity,0.21,0.0,0,0.936
insult,0.08,0.0,0,0.936
threat,0.02,0.0,0,0.936
obscene,0.04,0.0,0,0.936
toxicity,0.43,0.0,0,0.883
insult,0.63,0.0,0,0.883
threat,0.02,0.0,0,0.883
obscene,0.04,0.0,0,0.883
toxicity,0.06,0.0,0,0.96
insult,0.03,0.0,0,0.96
threat,0.01,0.0,0,0.96
obscene,0.02,0.0,0,0.96
toxicity,0.89,0.5405405163764954,1,0.895
insult,0.97,0.5270270109176636,1,0.895
threat,0.05,0.0,0,0.895
obscene,0.09,0.027027027681469917,0,0.895
toxicity,0.37,0.0,0,0.88
insult,0.21,0.0,0,0.88
threat,0.02,0.0,0,0.88
obscene,0.06,0.0,0,0.88
toxicity,0.47,0.0,0,1.919
insult,0.72,0.0,0,1.919
threat,0.03,0.0,0,1.919
obscene,0.05,0.0,0,1.919
toxicity,0.17,0.0,0,0.889
insult,0.13,0.0,0,0.889
threat,0.01,0.0,0,0.889
obscene,0.02,0.0,0,0.889
toxicity,0.78,0.30000001192092896,0,0.966
insult,0.93,0.30000001192092896,0,0.966
threat,0.03,0.0,0,0.966
obscene,0.14,0.0,0,0.966
toxicity,0.33,0.0,0,1.309
insult,0.27,0.0,0,1.309
threat,0.03,0.0,0,1.309
obscene,0.06,0.0,0,1.309
toxicity,0.62,0.4000000059604645,0,0.931
insult,0.72,0.10000000149011612,0,0.931
threat,0.04,0.10000000149011612,0,0.931
obscene,0.04,0.0,0,0.931
toxicity,0.75,0.1666666716337204,0,0.893
insult,0.86,0.1666666716337204,0,0.893
threat,0.02,0.0,0,0.893
obscene,0.03,0.0,0,0.893
toxicity,0.87,0.1666666716337204,0,0.958
insult,0.92,0.1666666716337204,0,0.958
threat,0.06,0.0,0,0.958
obscene,0.1,0.0,0,0.958
toxicity,0.28,0.0,0,0.903
insult,0.1,0.0,0,0.903
threat,0.02,0.0,0,0.903
obscene,0.02,0.0,0,0.903
toxicity,0.27,0.0,0,0.922
insult,0.09,0.0,0,0.922
threat,0.01,0.0,0,0.922
obscene,0.02,0.0,0,0.922
toxicity,0.16,0.20000000298023224,0,1.592
insult,0.12,0.20000000298023224,0,1.592
threat,0.01,0.0,0,1.592
obscene,0.02,0.0,0,1.592
toxicity,0.57,0.0,0,0.927
insult,0.34,0.0,0,0.927
threat,0.03,0.0,0,0.927
obscene,0.03,0.0,0,0.927
toxicity,0.13,0.0,0,0.976
insult,0.09,0.0,0,0.976
threat,0.02,0.0,0,0.976
obscene,0.03,0.0,0,0.976
toxicity,0.82,0.1666666716337204,0,0.953
insult,0.94,0.1666666716337204,0,0.953
threat,0.03,0.0,0,0.953
